title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Egypt,Series,Adventure,Cryo Interactive,,,,,,
Gone Home,All,Adventure,The Fullbright Company,,,,,,
Kameo: Elements of Power,X360,Adventure,Microsoft Game Studios,7.7,,,,,
The Descendant,PC,Adventure,Unknown,,,,,,
Machinarium,PC,Adventure,Amanita Design,8,,,,,
Omikron: The Nomad Soul,All,Adventure,Eidos Interactive,,,,,,
Ring: The Legend of the Nibelungen,All,Adventure,Red Orb Entertainment,,,,,,
Runaway: A Road Adventure,PC,Adventure,Tri Synergy,,,,,,
Syberia II,All,Adventure,MC2 Entertainment,,,,,,
VA-11 HALL-A,All,Adventure,Ysbryd Games,,,,,,
Game of Thrones: A Telltale Games Series,PC,Adventure,Telltale Games,,,,,,
Tales from the Borderlands,PC,Adventure,Telltale Games,,,,,,
Yakuza 5,PS3,Adventure,Sega,,,,,,
ABZU,PC,Adventure,505 Games,,,,,,
Yakuza 4,PS3,Adventure,Sega,7.7,,,,,
Viscera Cleanup Detail: Santa's Rampage,PC,Adventure,Unknown,,,,,,
Lara Croft and the Guardian of Light,PC,Adventure,Square Enix,8.3,,,,,
Grim Fandango Remastered,PC,Adventure,Unknown,,,,,,
Yakuza,PS2,Adventure,Sega,7.5,,,,,
Kingdom: New Lands,PC,Adventure,Unknown,,,,,,
13 Sentinels: Aegis Rim,PS4,Adventure,Atlus,,,,,,
Ankh,Series,Adventure,bhv Software,,,,,,
Broken Sword: The Shadow of the Templars,PS,Adventure,THQ,,,,,,
Core Keeper,PC,Adventure,Fireshine Games,,,,,,
CSI: Crime Scene Investigation,PC,Adventure,Ubisoft,,,,,,
Dark Earth,PC,Adventure,Microprose,,,,,,
Dreamfall Chapters,All,Adventure,Deep Silver,,,,,,
Freddy Pharkas: Frontier Pharmacist,All,Adventure,Sierra Online,,,,,,
Grim Fandango,PC,Adventure,LucasArts,9.3,,,,,
House Party,PC,Adventure,Unknown,,,,,,
Iron Helix,All,Adventure,Spectrum Holobyte,,,,,,
King's Quest V: Absence Makes the Heart Go Yonder!,All,Adventure,Sierra Online,,,,,,
Sherlock Holmes: The Case of the Silver Earring,PC,Adventure,Unknown,,,,,,
Sherlock Holmes: The Mystery of the Mummy,PC,Adventure,Unknown,,,,,,
Star Trek: The Next Generation – A Final Unity,All,Adventure,Spectrum Holobyte,,,,,,
Still Life,Series,Adventure,The Adventure Company,,,,,,
Syberia,All,Adventure,The Adventure Company,,,,,,
The 11th Hour,PC,Adventure,Virgin Interactive,,,,,,
The Black Mirror,PC,Adventure,The Adventure Company,,,,,,
The Crystal Key,PC,Adventure,DreamCatcher Interactive,,,,,,
The Great Ace Attorney Chronicles,All,Adventure,Capcom,,,,,,
The Hobbit (1982),All,Adventure,Melbourne House,,,,,,
The Longest Journey,PC,Adventure,Funcom,8.7,,,,,
Uncle Albert,Series,Adventure,Emme Interactive,,,,,,
Versailles 1685,PC,Adventure,Interplay,,,,,,
Yakuza 3,PS3,Adventure,Sega,7.9,,,,,
Bionic Commando,PS3,Adventure,Capcom,7,,,,,
Life Is Strange: Before the Storm,PC,Adventure,Square Enix,,,,,,
Pirates! Gold,All,Adventure,Microprose,,,,,,
Superbrothers: Sword & Sworcery EP,PC,Adventure,Unknown,,,,,,
Zork: The Great Underground Empire,PC,Adventure,Infocom,,,,,,
Broken Age,PC,Adventure,Double Fine Productions,,,,,,
Eternal Darkness: Sanity's Requiem,GC,Adventure,Nintendo,9.3,,,,,
"King's Quest VI: Heir Today, Gone Tomorrow",All,Adventure,Sierra Online,,,,,,
Outcast,PC,Adventure,Infogrames,,,,,,
The Hitchhiker's Guide to the Galaxy,PC,Adventure,Infocom,,,,,,
Under a Killing Moon,PC,Adventure,Access Software,,,,,,
The Vanishing of Ethan Carter,PC,Adventure,The Astronauts,8.7,,,,,
Bionic Commando,X360,Adventure,Capcom,7.1,,,,,
The Last Hope,PC,Adventure,Unknown,,,,,,
Egypt 1156 B.C.: Tomb of the Pharaoh,All,Adventure,Cryo Interactive,,,,,,
Traitors Gate,All,Adventure,DreamCatcher Interactive,,,,,,
Minecraft: Story Mode,PC,Adventure,Mojang,,,,,,
Botanicula,PC,Adventure,Amanita Design,,,,,,
Atonement: Scourge of Time,PC,Adventure,Unknown,,,,,,
Her Story,PC,Adventure,Sam Barlow,8.7,,,,,
Atlantis: The Lost Tales,All,Adventure,Interplay Productions,,,,,,
Dragon Lore,All,Adventure,Mindscape,,,,,,
Dreamfall: The Longest Journey,All,Adventure,Aspyr,,,,,,
Gabriel Knight,Series,Adventure,Sierra Online,,,,,,
In Memoriam,All,Adventure,The Adventure Company,,,,,,
Master Detective Archives: Rain Code,NS,Adventure,Spike Chunsoft,,,,,,
Putt-Putt Joins the Parade,All,Adventure,Humongous Entertainment,,,,,,
Sherlock Holmes: Crimes & Punishments,PC,Adventure,Focus Home Interactive,,,,,,
Silent Hill 3,PS2,Adventure,Konami,8.4,,,,,
The Dig,PC,Adventure,LucasArts,,,,,,
VA-11 HALL-A,PC,Adventure,Ysbryd Games,8.4,,,,,
Monkey Island 2 Special Edition: LeChuck's Revenge,PC,Adventure,LucasArts,,,,,,
Mary-Kate and Ashley: Magical Mystery Mall,PS,Adventure,Acclaim Entertainment,,,,,,
Yakuza Kenzan!,PS3,Adventure,Sega,,,,,,
Oxenfree,PC,Adventure,Unknown,,,,,,
Okami,Wii,Adventure,Capcom,9,,,,,
The Walking Dead - The Telltale Series: A New Frontier,PC,Adventure,Unknown,,,,,,
Batman - The Telltale Series,PC,Adventure,Unknown,,,,,,
Okami,PS2,Adventure,Capcom,9.4,,,,,
Home Behind,PC,Adventure,Unknown,,,,,,
Day of the Tentacle Remastered,PC,Adventure,Unknown,,,,,,
Fables & Fiends,Series,Adventure,Virgin Games,,,,,,
Indiana Jones and the Last Crusade: The Graphic Adventure,PC,Adventure,LucasArts,,,,,,
King's Quest III: To Heir Is Human,All,Adventure,Sierra Online,,,,,,
Lands of Lore: The Throne of Chaos,PC,Adventure,Virgin Interactive,,,,,,
Law & Order: Dead on the Money,PC,Adventure,Unknown,,,,,,
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,All,Adventure,Sierra Online,,,,,,
Leisure Suit Larry 6: Shape Up or Slip Out!,All,Adventure,Sierra Online,,,,,,
Leisure Suit Larry Goes Looking for Love (In Several Wrong Places),PC,Adventure,Sierra Entertainment,,,,,,
Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals!,PC,Adventure,Sierra Entertainment,,,,,,
Leisure Suit Larry in the Land of the Lounge Lizards,All,Adventure,Sierra Online,,,,,,
Riddle of the Sphinx: An Egyptian Adventure,All,Adventure,DreamCatcher Interactive,,,,,,
Chaos on Deponia,PC,Adventure,Daedalic Entertainment,,,,,,
The Basement Collection,PC,Adventure,Edmund McMillen,,,,,,
Detention,PC,Adventure,Coconut Island Games,,,,,,
Under Zero,PC,Adventure,Dagestan Technology,,,,,,
Sleeping Valley,PC,Adventure,White Dog,,,,,,
Warriors of Vilvatikta,PC,Adventure,Back To Basics Gaming,,,,,,
Still Life,All,Adventure,The Adventure Company,,,,,,
Shelter 2,PC,Adventure,Might and Delight,,,,,,
Jazzpunk: Director's Cut,PC,Adventure,Necrophone Games,,,,,,
Gods Will Be Watching,PC,Adventure,Unknown,,,,,,
Moon Colonization Project,PC,Adventure,Unknown,,,,,,
Dear RED,PC,Adventure,Unknown,,,,,,
Edna & Harvey: Harvey's New Eyes,PC,Adventure,Rondomedia,,,,,,
Night in the Woods,PC,Adventure,Unknown,8.8,,,,,
Aquanaut's Holiday,PS,Adventure,Sony Computer Entertainment,8,,,,,
Atlantis II,All,Adventure,DreamCatcher Interactive,,,,,,
Dracula: Resurrection,All,Adventure,DreamCatcher Interactive,,,,,,
Manhunter,Series,Adventure,Sierra Online,,,,,,
Torin's Passage,All,Adventure,Sierra Online,,,,,,
The Room Two,PC,Adventure,Fireproof Games,,,,,,
Space Pilgrim Episode I: Alpha Centauri,PC,Adventure,GrabTheGames,,,,,,
The Walking Dead: Michonne,PC,Adventure,Telltale Games,,,,,,
Among The Sleep,PC,Adventure,Krillbite Studio,,,,,,
Kamaitachi no Yoru × 3,PS2,Adventure,Sega,,,,,,
The Dark Eye: Chains of Satinav,PC,Adventure,Daedalic Entertainment,,,,,,
The Testament of Sherlock Holmes,PC,Adventure,Focus Home Interactive,,,,,,
Fran Bow,PC,Adventure,Killmonday Games,,,,,,
Superflight,PC,Adventure,Unknown,,,,,,
What Remains of Edith Finch,PC,Adventure,Unknown,,,,,,
Melissa K. and the Heart of Gold Collector's Edition,PC,Adventure,Unknown,,,,,,
Home,PC,Adventure,Unknown,,,,,,
Zork II: The Wizard of Frobozz,PC,Adventure,Infocom,,,,,,
Spakoyno: Back to the USSR 2.0,PC,Adventure,Unknown,,,,,,
Bad Mojo,PC,Adventure,Acclaim Entertainment,,,,,,
The Butterfly Sign,PC,Adventure,Unknown,,,,,,
Final Fantasy Fables: Chocobo Tales,DS,Adventure,Square Enix,7.4,,,,,
Goodbye Deponia,PC,Adventure,Daedalic Entertainment,,,,,,
Daily Chthonicle: Editor's Edition,PC,Adventure,Unknown,,,,,,
Greenwood the Last Ritual,PC,Adventure,Unknown,,,,,,
The Butterfly Sign: Human Error,PC,Adventure,Unknown,,,,,,
Anna - Extended Edition,PC,Adventure,Unknown,,,,,,
Aquaria,PC,Adventure,Bit Blot,,,,,,
Okami HD,PC,Adventure,Capcom,,,,,,
Frankenstein: Master of Death,PC,Adventure,Unknown,,,,,,
The 39 Steps,PC,Adventure,Unknown,,,,,,
The Whispered World,PC,Adventure,Viva Media,,,,,,
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,PC,Adventure,Hothead Games,,,,,,
Enchanter,Series,Adventure,Infocom,,,,,,
DreadOut,PC,Adventure,Unknown,,,,,,
Space Pilgrim Episode II: Epsilon Indi,PC,Adventure,GrabTheGames,,,,,,
Broken Sword 5: The Serpent's Curse,PC,Adventure,Revolution Software,,,,,,
Kindergarten,PC,Adventure,Unknown,,,,,,
Sinister City,PC,Adventure,Unknown,,,,,,
China: The Forbidden City,All,Adventure,Cryo Interactive,,,,,,
Ripper,All,Adventure,Take-Two Interactive,,,,,,
Shadows on the Vatican Act I: Greed,PC,Adventure,Unknown,,,,,,
Deadline,PC,Adventure,Infocom,,,,,,
Sherlock Holmes: The Devil's Daughter,PC,Adventure,Bigben Interactive,,,,,,
The Solus Project,PC,Adventure,Teotl Studios,,,,,,
Spycraft: The Great Game,PC,Adventure,Activision,7.1,,,,,
Soul Gambler,PC,Adventure,Gamestorming,,,,,,
Space Pilgrim Episode IV: Sol,PC,Adventure,GrabTheGames,,,,,,
The Silent Age,PC,Adventure,Meridian4,,,,,,
Fahrenheit: Indigo Prophecy Remastered,PC,Adventure,Aspyr,,,,,,
Edna & Harvey: The Breakout,PC,Adventure,Daedalic Entertainment,,,,,,
Draw a Stickman: EPIC,PC,Adventure,Hitcents,,,,,,
Reversion - The Escape (1st Chapter),PC,Adventure,3f Interactive,,,,,,
Zork III: The Dungeon Master,PC,Adventure,Infocom,,,,,,
Gemini Rue,PC,Adventure,Wadjet Eye Games,8,,,,,
Leather Goddesses of Phobos,PC,Adventure,Infocom,,,,,,
Egypt II: The Heliopolis Prophecy,All,Adventure,Cryo Interactive,,,,,,
Bootombaa,PC,Adventure,cada,,,,,,
Obduction,PC,Adventure,Cyan Worlds,,,,,,
The Deed,PC,Adventure,GrabTheGames,,,,,,
Beat Cop,PC,Adventure,11 bit studios,,,,,,
The Fantastic Adventures of Dizzy,All,Adventure,Codemasters,,,,,,
The Witcher Adventure Game,PC,Adventure,CD Projekt Red Studio,,,,,,
Deponia Doomsday,PC,Adventure,Daedalic Entertainment,,,,,,
Amnesia: A Machine for Pigs,All,Adventure,Frictional Games,,,,,,
Fatal Frame: Mask of the Lunar Eclipse,All,Adventure,Koei Tecmo,,,,,,
The Secret of the Nautilus,PC,Adventure,Unknown,,,,,,
The Cat Lady,PC,Adventure,Screen 7,,,,,,
Wishbringer,PC,Adventure,Infocom,,,,,,
Late Shift,PC,Adventure,Wales Interactive Ltd.,,,,,,
Samorost 3,PC,Adventure,Amanita Design,,,,,,
Hektor,PC,Adventure,Meridian4,,,,,,
Submerged,PC,Adventure,Uppercut Games Pty Ltd,,,,,,
Dragon Quest Heroes: Rocket Slime,DS,Adventure,Square Enix,8.3,,,,,
A New Beginning,PC,Adventure,Daedalic Entertainment,,,,,,
HIVESWAP: ACT 1,PC,Adventure,"What Pumpkin Games, Inc.",,,,,,
Jackal,PC,Adventure,Peace,,,,,,
Rusty Lake: Roots,PC,Adventure,Rusty Lake,,,,,,
Suspended,PC,Adventure,Infocom,,,,,,
One Piece: Unlimited Adventure,Wii,Adventure,Namco Bandai,,,,,,
Midsummer Night,PC,Adventure,Siberian Digital,,,,,,
Salt,PC,Adventure,Lavaboots Studios,,,,,,
Planetfall,Series,Adventure,Infocom,,,,,,
Amnesia: Rebirth,All,Adventure,Frictional Games,,,,,,
Ankh,PC,Adventure,Viva Media,,,,,,
Captain Blood,PC,Adventure,Mindscape,,,,,,
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,Adventure,Tecmo,,,,,,
DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,DS,Adventure,Tecmo,,,,,,
Jules Verne's Return To Mysterious Island,iOS,Adventure,Unknown,,,,,,
King's Quest IV: The Perils of Rosella,All,Adventure,Sierra Online,,,,,,
Manhunter 2: San Francisco,All,Adventure,Sierra Online,,,,,,
Manhunter: New York,All,Adventure,Sierra Online,,,,,,
Men in Black: The Game,All,Adventure,SouthPeak Interactive,,,,,,
Mindshadow,All,Adventure,Activision,,,,,,
Riana Rouge,PC,Adventure,Black Dragon,,,,,,
The Last Express,All,Adventure,Broderbund,,,,,,
Yomawari,Series,Adventure,NIS America,,,,,,
Zork Nemesis,PC,Adventure,Activision,,,,,,
Starcross,PC,Adventure,Infocom,,,,,,
Pompei: The Legend of Vesuvius,All,Adventure,Cryo Interactive,,,,,,
Mystery House,PC,Adventure,Sierra Entertainment,,,,,,
Planetfall,PC,Adventure,Infocom,,,,,,
Cutthroats,PC,Adventure,Infocom,,,,,,
The Witness,PC,Adventure,Infocom,,,,,,
Enchanter,PC,Adventure,Infocom,,,,,,
Nanashi no Game,DS,Adventure,Square Enix,,,,,,
Suspect,PC,Adventure,Infocom,,,,,,
Fox Hunt,All,Adventure,Capcom,,,,,,
Senran Kagura Reflexions,NS,Adventure,Xseed Games,,,,,,
Yomawari: Night Alone,PSV,Adventure,NIS America,,,,,,
Beyond Zork: The Coconut of Quendor,PC,Adventure,Infocom,,,,,,
Sorcerer,PC,Adventure,Infocom,,,,,,
Seastalker,PC,Adventure,Infocom,,,,,,
Bureaucracy,PC,Adventure,Infocom,,,,,,
Her Story,iOS,Adventure,Unknown,,,,,,
Mia's Reading Adventure: The Search for Grandma's Remedy,PC,Adventure,Kutoka Interactive,,,,,,
Trinity,PC,Adventure,Infocom,,,,,,
Edge of Nowhere,PC,Adventure,Oculus Studios,,,,,,
Spellbreaker,PC,Adventure,Infocom,,,,,,
A Mind Forever Voyaging,PC,Adventure,Infocom,,,,,,
Moonmist,PC,Adventure,Unknown,,,,,,
A Vampyre Story,All,Adventure,The Adventure Company,,,,,,
Ballyhoo,PC,Adventure,Infocom,,,,,,
Softporn Adventure,OSX,Adventure,Unknown,,,,,,
The Race Against Time,All,Adventure,Codemasters,,,,,,
Wizard and the Princess,All,Adventure,Sierra Online,,,,,,
Zork Trilogy,PC,Adventure,Unknown,,,,,,
The Lurking Horror,PC,Adventure,Infocom,,,,,,
Sherlock: The Riddle of the Crown Jewels,PC,Adventure,Infocom,,,,,,
Stationfall,PC,Adventure,Infocom,,,,,,
Clandestiny,PC,Adventure,Trilobyte,,,,,,
Nord and Bert Couldn't Make Head or Tail of It,PC,Adventure,Infocom,,,,,,
Zork Quest: Assault on Egreth Castle,PC,Adventure,Infocom,,,,,,
Plundered Hearts,PC,Adventure,Infocom,,,,,,
Hollywood Hijinx,PC,Adventure,Infocom,,,,,,
Gamma Force in Pit of a Thousand Screams,PC,Adventure,Infocom,,,,,,
Border Zone,PC,Adventure,Infocom,,,,,,
Faust,PC,Adventure,Unknown,,,,,,
The Interactive Adventures of Seymore Butt,PC,Adventure,New Machine Publishing,,,,,,
Infidel,PC,Adventure,Infocom,,,,,,
Enchanter Trilogy,PC,Adventure,Unknown,,,,,,
Asylum,PC,Adventure,Unknown,,,,,,
Zork Zero: The Revenge of Megaboz,PC,Adventure,Infocom,,,,,,
Zork Quest: The Crystal of Doom,PC,Adventure,Infocom,,,,,,
SwordThrust,OSX,Adventure,Unknown,,,,,,
...Iru!,PS,Adventure,Takara,,,,,,
1001 Nights: The Adventures of Sindbad,MS,Adventure,Unknown,,,,,,
"10101: ""Will"" the Starship",PS,Adventure,Sound Technology,,,,,,
12Riven: The Psi-Climinal of Integral,PC,Adventure,CyberFront,,,,,,
1954: Alcatraz,PC,Adventure,Unknown,,,,,,
19:03 Ueno Hatsu Yakou Ressha,PS,Adventure,Visit,,,,,,
20-Seiki Alice,PC,Adventure,Alice Soft,,,,,,
2064: Read Only Memories,PSV,Adventure,MidBoss,,,,,,
2064: Read Only Memories,PC,Adventure,MidBoss,,,,,,
2064: Read Only Memories,PS4,Adventure,MidBoss,,,,,,
21: TwoOne,DC,Adventure,Princess Soft,,,,,,
221 B Baker St.,PC,Adventure,Unknown,,,,,,
2400 A.D.,PC,Adventure,Origin Systems,,,,,,
3x3 Eyes: Kyuusei Koushu,PS,Adventure,Xing Entertainment,,,,,,
3x3 Eyes: Kyuusei Koushu S,SAT,Adventure,Nippon Create,,,,,,
3x3 Eyes: Sanjiyan Henjou,PCE,Adventure,NEC,,,,,,
3X3 Eyes: Tenrinou Genmu,PS,Adventure,King Records,,,,,,
428: Fuusa Sareta Shibuya de,PSN,Adventure,ChunSoft,,,,,,
4PM,PC,Adventure,4PM Game LTD,,,,,,
4PM,OSX,Adventure,4PM Game LTD,,,,,,
77: Beyond the Milky Way,PSP,Adventure,GN Software,,,,,,
99 Spirits - Cage of Night,PC,Adventure,RunnerGames,,,,,,
9: The Last Resort,PC,Adventure,GT Interactive,,,,,,
@Simple DL Series Vol. 1 : THE Misshitsu kara no Dasshutsu: Fushigi na Kumadonaru Burger Hen,3DS,Adventure,D3 Publisher,,,,,,
@Simple DS Series Vol. 1: The Misshitsukara no Dasshutsu,DSiW,Adventure,D3 Publisher,,,,,,
@Simple DS Series Vol. 2: The Misshitsukara no Dasshutsu - Gakkou-hen,DSiW,Adventure,D3 Publisher,,,,,,
@Simple DS Series Vol. 4: The Misshitsukara no Dasshutsu - Karakuri Yashiki,DSiW,Adventure,D3 Publisher,,,,,,
@Simple DS Series Vol. 6: The Misshitsukara no Dasshutsu: s Sky Tower Hen,DSiW,Adventure,D3 Publisher,,,,,,
A Golden Wake,PC,Adventure,Wadjet Eye Games,,,,,,
A Mind Forever Voyaging,AST,Adventure,Infocom,,,,,,
A Mind Forever Voyaging,Amig,Adventure,Infocom,,,,,,
A Mind Forever Voyaging,C128,Adventure,Activision,,,,,,
A Mind Forever Voyaging,MSD,Adventure,Infocom,,,,,,
A New Beginning,DS,Adventure,Unknown,,,,,,
A New Beginning,Wii,Adventure,Unknown,,,,,,
A-GA,PC,Adventure,Illusion,,,,,,
A-Rank Thunder Tanjouhen,SCD,Adventure,Riot,,,,,,
Aa-ojousama!,PC,Adventure,Unknown,,,,,,
Abandoner,PC,Adventure,Unknown,,,,,,
Ace Ventura,PC,Adventure,7th Level,,,,,,
Aconcagua,PS,Adventure,Sony Computer Entertainment,,,,,,
Actual Crimes: Jack the Ripper,PSN,Adventure,Sanuk Games,,,,,,
Addams Family Values,GEN,Adventure,Unknown,,,,,,
Addams Family Values,SNES,Adventure,Ocean,,,,,,
Adr1ft,PC,Adventure,505 Games,,,,,,
Adr1ft,PS4,Adventure,505 Games,,,,,,
Adventure,PC,Adventure,Microsoft,,,,,,
Adventure 4 Pack,PC,Adventure,Unknown,,,,,,
Adventure II,5200,Adventure,Unknown,,,,,,
Adventure Player,PSP,Adventure,From Software,,,,,,
Adventure Time: The Secret of the Nameless Kingdom,PSV,Adventure,Little Orbit,,,,,,
Adventure Time: The Secret of the Nameless Kingdom,PC,Adventure,Little Orbit,,,,,,
Adventureland,PC,Adventure,Unknown,,,,,,
Adventurezator: When Pigs Fly,Linux,Adventure,Degica,,,,,,
Adventurezator: When Pigs Fly,OSX,Adventure,Degica,,,,,,
Adventurezator: When Pigs Fly,PC,Adventure,Degica,,,,,,
After...,DC,Adventure,Pione Soft,,,,,,
After... Wasureemu Kizuna,PS2,Adventure,Pione Soft,,,,,,
Agatha Christie DICE,PS3,Adventure,Unknown,,,,,,
Agatha Christie DICE,DS,Adventure,Unknown,,,,,,
Agatha Christie Mysteries,PC,Adventure,The Adventure Company,,,,,,
Agatha Christie's The ABC Murders,PC,Adventure,"GRAVITY Co.,Ltd",,,,,,
Agatha Christie: Double Murder Mystery Pack,PC,Adventure,The Adventure Company,,,,,,
Agatha Christie: The ABC Murders,XOne,Adventure,Microids,,,,,,
Agatha Christie: The ABC Murders,PS4,Adventure,Microids,,,,,,
AGON: Lost Sword of Toledo,PC,Adventure,Kalypso,,,,,,
Ah! My Goddess,PCFX,Adventure,NEC,,,,,,
Aikagi,DC,Adventure,NEC Interchannel,,,,,,
Aikagi,PS2,Adventure,NEC Interchannel,,,,,,
Aikagi,PC,Adventure,F&C,,,,,,
Aikagi 2,PC,Adventure,F&C,,,,,,
AIR,DC,Adventure,NEC Interchannel,,,,,,
AIR,PSN,Adventure,Prototype,,,,,,
AIR,PC,Adventure,Key,,,,,,
AIR,PS2,Adventure,NEC Interchannel,,,,,,
Airs Adventure,SAT,Adventure,Game Studio,,,,,,
Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,PS,Adventure,Victor Interactive,,,,,,
Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,PSN,Adventure,Marvelous Interactive,,,,,,
Akagawa Jirou: Yasoukyoku,PS,Adventure,Victor Interactive,,,,,,
Akagawa Jirou: Yasoukyoku,PSN,Adventure,Victor Interactive,,,,,,
Akagawa Jirou: Yasoukyoku 2,PS,Adventure,Victor Interactive,,,,,,
Akagawa Jirou: Yasoukyoku 2,PSN,Adventure,Victor Interactive,,,,,,
Akagi: Topaiten,3DO,Adventure,Micronet,,,,,,
Akagi: Topaiten,PS,Adventure,Micronet,,,,,,
Akagi: Yami ni Furitatta Tensai,PS2,Adventure,D3 Publisher,,,,,,
Akai Ito,PS2,Adventure,Success,,,,,,
Akane Iro ni Somaru Saka,PC,Adventure,Feng,,,,,,
Akane Iro ni Somaru Saka Portable,PSP,Adventure,LukPlus,,,,,,
Akane Maniax: Nagareboshi Densetsu Gouda,PC,Adventure,age,,,,,,
Akikaze Person: Ore to Boku to Kanojo no..,PC,Adventure,Unknown,,,,,,
Akira,NES,Adventure,Taito,,,,,,
Akogare Girls Collection: Lovely Youchien Nikki,DS,Adventure,Creative Core,,,,,,
Akogare Girls Collection: Pika Pika Nurse Monogatari,DS,Adventure,Unknown,,,,,,
Akogare Girls Collection: Wan Nyan Doubutsu Byouin,DS,Adventure,Columbia Music Entertainment,,,,,,
Akudaikan,PS2,Adventure,Global A Entertainment,,,,,,
Akudaikan 2: Mousouden,PS2,Adventure,Global A Entertainment,,,,,,
Akudaikan 3,PS2,Adventure,Global A Entertainment,,,,,,
Akudaikan Manyuuki,PSP,Adventure,Global A Entertainment,,,,,,
Akudaikan Manyuuki: Seigi no Yaiba,PSP,Adventure,Global A Entertainment,,,,,,
Akuza no Ma,PS,Adventure,Visit,,,,,,
Alderman,XBL,Adventure,Microsoft,,,,,,
Aleck & Bordon Adventure: Tower & Shaft,GBA,Adventure,Aruze Corp,,,,,,
Alice 2010,PC,Adventure,Alice Soft,,,,,,
Alice in Cyberland,PS,Adventure,Glams,,,,,,
Alice no Paint Adventure,SNES,Adventure,Epoch,,,,,,
Alice no Yakata 7,PC,Adventure,Alice Soft,,,,,,
Alice Syndrome,PC,Adventure,Gaia (GeGeGe),,,,,,
Alice+,PC,Adventure,Gaia (GeGeGe),,,,,,
Alice+ 2,PC,Adventure,Gaia (GeGeGe),,,,,,
Alice+ 3,PC,Adventure,Gaia (GeGeGe),,,,,,
Alice: An Interactive Museum,PC,Adventure,Synergy Inc.,,,,,,
Alive,PC,Adventure,Witch,,,,,,
Alliance of Heroes,PC,Adventure,Unknown,,,,,,
Alnam no Kiba: Shouzoku Juunishin-to Densetsu,PS,Adventure,Right Stuff,,,,,,
Alone in the Dark,XBL,Adventure,Atari,,,,,,
Alone in the Dark,3DO,Adventure,Interplay,,,,,,
Alone in the Dark (1992),PC,Adventure,Interplay,,,,,,
Alone in the Dark 2,PC,Adventure,Infogrames,,,,,,
Alone in the Dark 2,3DO,Adventure,Interplay Productions,,,,,,
Alone in the Dark 3,PC,Adventure,Infogrames,,,,,,
Alone in the Dark: One-Eyed Jack's Revenge,SAT,Adventure,Kokopeli Digital Studios,,,,,,
Alone in the Dark: The New Nightmare,PS2,Adventure,Unknown,,,,,,
Alone in the Dark: The New Nightmare,GB,Adventure,Infogrames,,,,,,
Alone in the Dark: The New Nightmare,DC,Adventure,Infogrames,7.4,,,,,
Alone in the Dark: The New Nightmare,PSN,Adventure,Unknown,,,,,,
Alone in the Dark: The Trilogy 1+2+3,PC,Adventure,Infogrames,,,,,,
Alone With You,PS4,Adventure,Benjamin Rivers Inc.,,,,,,
Alone With You,PSV,Adventure,Benjamin Rivers Inc.,,,,,,
Alpha Polaris,PC,Adventure,Unknown,,,,,,
"Amagoushi no Yakata Portable: Ichiyagi Wa, Saisho no Junan",PSP,Adventure,Nippon Ichi Software,,,,,,
Amatsumi Sora ni! Kumo no Hatate ni,PSP,Adventure,Prototype,,,,,,
Amazing World,PC,Adventure,GANZ,,,,,,
Amazing World,OSX,Adventure,GANZ,,,,,,
Amber: Journeys Beyond,PC,Adventure,Graphic Simulations,,,,,,
American Girl: Julie Saves the Eagles,PC,Adventure,THQ,,,,,,
American Girl: Kit Mystery Challenge!,PC,Adventure,THQ,,,,,,
American McGee presents ScrapLand,PC,Adventure,Enlight,,,,,,
Amerzone,PC,Adventure,Ubisoft,,,,,,
Amerzone: The Explorer's Legacy,PS,Adventure,Ubisoft,,,,,,
Amnesia: A Machine for Pigs,Linux,Adventure,Frictional Games,,,,,,
Amnesia: A Machine for Pigs,PC,Adventure,Frictional Games,,,,,,
Amnesia: Memories,PC,Adventure,Idea Factory International,,,,,,
Amnesia: Memories,PSV,Adventure,Idea Factory International,,,,,,
Among The Sleep,OSX,Adventure,Krillbite Studio,,,,,,
Amy's Fantasies,PC,Adventure,Jast,,,,,,
Anata o Yurusanai,PSP,Adventure,AQ Interactive,,,,,,
Anejoku,PC,Adventure,Unknown,,,,,,
Angel Blade,PC,Adventure,Unknown,,,,,,
Angel Halo,PC,Adventure,Active,,,,,,
Angel Parasite,PC,Adventure,Unknown,,,,,,
Angel Wish,DC,Adventure,Pione Soft,,,,,,
Angelic Concert,XB,Adventure,Success,,,,,,
Angelic Concert,PS2,Adventure,Success,,,,,,
Angelique Etoile,PS2,Adventure,KOEI,,,,,,
Angelique Trois: Aizouhen,PS2,Adventure,KOEI,,,,,,
Angelium: Tokimeki Love God,PC,Adventure,Terios,,,,,,
Animamundi: Dark Alchemist,PC,Adventure,Hirameki International Group,,,,,,
