title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
The Simpsons: Hit & Run,PS2,Racing,VU Games,7.7,1.73,,2.19,0.79,4.7
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9.3,3.05,0.02,1.41,0.2,4.68
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8.3,1.94,0.08,1.95,0.7,4.67
Tomb Raider,PS,Action,Eidos Interactive,8.9,2.29,0.13,1.97,0.24,4.63
Forza Motorsport 4,X360,Racing,Microsoft Studios,9.1,2.08,0.06,1.98,0.49,4.6
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8.6,3.04,0,1.12,0.44,4.6
FIFA 15,PS3,Sports,EA Sports,6.9,0.59,0.04,3.25,0.68,4.56
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,6.8,1.87,0.22,1.97,0.48,4.54
Overwatch,PS4,Shooter,Blizzard Entertainment,8.8,1.84,0.17,1.8,0.73,4.54
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,8.7,3.19,0.01,0.91,0.42,4.53
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,,1.7,0.12,1.99,0.73,4.53
Madden NFL 2005,PS2,Sports,EA Sports,9.5,4.18,0.01,0.26,0.08,4.53
Spider-Man: The Movie,PS2,Action,Activision,8.2,2.71,0.03,1.51,0.23,4.48
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,9.2,2.89,0.13,1.03,0.41,4.47
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9.1,2.66,0.01,1.29,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8.8,0.1,1.05,2.39,0.86,4.39
Tom Clancy's The Division,PS4,Shooter,Ubisoft,,1.49,0.16,2.04,0.69,4.37
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8.6,2.03,0.08,1.79,0.47,4.37
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5.6,2.64,0.01,1.33,0.39,4.37
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,,1.29,0.36,2.06,0.64,4.36
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9.1,2.81,0,1.13,0.41,4.34
Watch Dogs,PS4,Action-Adventure,Ubisoft,,1.4,0.11,2.13,0.68,4.32
Asteroids,2600,Shooter,Atari,,4,,0.26,0.05,4.31
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9,2.26,0.07,1.33,0.63,4.28
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9.1,1.59,0.2,1.81,0.67,4.27
Namco Museum,GBA,Misc,Namco,,3,0.05,1.11,0.07,4.24
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8.8,1.41,0.1,2.03,0.69,4.23
Assassin's Creed: Revelations,X360,Action,Ubisoft,7.9,2.28,0.04,1.47,0.44,4.22
FIFA Soccer 06,PS2,Sports,EA Sports,8.4,0.78,0.04,2.55,0.84,4.21
Street Fighter IV,PS3,Fighting,Capcom,9.3,2.04,0.59,1.05,0.52,4.19
FIFA Soccer 12,X360,Sports,EA Sports,9.2,0.85,0.02,2.79,0.52,4.18
Call of Duty: Ghosts,PS4,Shooter,Activision,7.5,1.79,0.05,1.64,0.69,4.17
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5.9,3.38,0.31,0.44,0.04,4.17
Frogger,PS,Action,Hasbro Interactive,,3.79,,0.27,0.11,4.16
FIFA 14,X360,Sports,EA Sports,,0.94,0.01,2.92,0.29,4.15
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6.9,2.49,0.02,1.26,0.38,4.15
Madden NFL 2003,PS2,Sports,EA Sports,9.4,3.36,0.01,0.21,0.56,4.14
Assassin's Creed: Unity,PS4,Action,Ubisoft,,1.25,0.09,2.16,0.65,4.14
Destiny 2,PS4,Shooter,Activision,,1.92,0.1,1.44,0.69,4.14
FIFA 07 Soccer,PS2,Sports,EA Sports,8.4,0.71,0.03,2.48,0.89,4.11
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8.1,1.65,0.11,1.68,0.66,4.11
The Sims 4,PC,Simulation,Electronic Arts,7,1.2,,2.6,0.3,4.1
